# TimeStep  RandWalk_mean  RandWalk_lo  RandWalk_hi  PIG_mean  PIG_lo  PIG_hi  EPIG_mean  EPIG_lo  EPIG_hi  TPIG_mean  TPIG_lo  TPIG_hi  ETPIG_mean  ETPIG_lo  ETPIG_hi  LP_mean  LP_lo  LP_hi
62  21.426366  16.707563  26.145169  29.137089  25.673112  32.601066  29.182570  25.065642  33.299498  10.004711  9.250832  10.758590  10.931122  8.767428  13.094816  10.275036  8.820314  11.729759
63  21.698787  16.812265  26.585309  29.406298  25.910091  32.902505  29.476979  25.426634  33.527324  9.902752  9.144269  10.661234  11.064310  8.824360  13.304261  10.194958  8.729170  11.660747
64  21.869985  16.967804  26.772166  29.742805  26.275937  33.209673  29.698056  25.657064  33.739048  9.831907  8.998505  10.665309  11.236506  8.976980  13.496031  10.332662  8.689578  11.975747
65  22.035013  17.089920  26.980106  30.031794  26.611829  33.451759  30.039187  26.010905  34.067469  9.773931  9.006175  10.541687  11.422078  9.224859  13.619297  10.562964  8.885015  12.240913
66  22.235906  17.195736  27.276076  30.342782  26.927186  33.758378  30.301066  26.316737  34.285395  9.720868  8.992811  10.448926  11.591314  9.396595  13.786032  10.900915  9.203917  12.597912
67  22.325176  17.193998  27.456354  30.685965  27.340575  34.031355  30.626353  26.628368  34.624338  9.935576  9.097189  10.773963  11.797079  9.610890  13.983267  11.191729  9.459902  12.923557
68  22.533435  17.333944  27.732926  31.082315  27.684677  34.479953  30.821195  26.718130  34.924260  10.209392  9.438246  10.980538  11.926535  9.744711  14.108360  11.384628  9.609073  13.160183
69  22.744087  17.437221  28.050953  31.438756  28.071993  34.805519  31.034345  27.032284  35.036406  10.405718  9.680917  11.130519  12.029498  9.953024  14.105971  11.580589  9.859756  13.301423
70  22.865802  17.480436  28.251168  31.644435  28.350909  34.937961  31.316831  27.379050  35.254612  10.580748  9.747768  11.413729  12.159702  10.138118  14.181287  11.637443  9.914540  13.360345
71  23.074718  17.589890  28.559546  31.983820  28.679763  35.287877  31.526925  27.599269  35.454581  10.791806  9.797369  11.786243  12.322391  10.351291  14.293492  11.792947  10.010870  13.575023
72  23.195789  17.637916  28.753662  32.206324  28.926400  35.486248  31.714279  27.876965  35.551593  10.905344  9.799330  12.011357  12.497808  10.477398  14.518218  12.019583  10.356196  13.682971
73  23.290695  17.790874  28.790516  32.504171  29.254713  35.753629  31.938422  28.196580  35.680264  11.047004  9.983018  12.110990  12.551530  10.484080  14.618981  12.140827  10.427053  13.854602
74  23.388989  17.954348  28.823630  32.756204  29.453808  36.058600  32.067358  28.427179  35.707537  11.268966  10.125582  12.412350  12.822830  10.676815  14.968844  12.271289  10.506768  14.035809
75  23.603893  18.180115  29.027671  33.011211  29.633230  36.389192  32.262446  28.634951  35.889941  11.516895  10.410465  12.623324  13.063214  10.954357  15.172072  12.413396  10.629183  14.197610
76  23.826642  18.446021  29.207263  33.315213  29.914014  36.716412  32.601675  28.986972  36.216378  11.643553  10.612398  12.674708  13.207004  11.085603  15.328405  12.709430  10.904393  14.514467
77  24.033373  18.673237  29.393509  33.570029  30.025210  37.114848  32.747606  29.044527  36.450685  11.766209  10.775697  12.756721  13.345910  11.148906  15.542913  12.868699  11.005100  14.732299
78  24.218514  18.854612  29.582416  33.790790  30.082728  37.498852  33.038815  29.319651  36.757979  11.882646  10.978311  12.786980  13.463226  11.313925  15.612528  13.102184  11.275631  14.928737
79  24.319162  18.932707  29.705617  34.054521  30.353992  37.755050  33.321958  29.526646  37.117270  12.217293  11.334540  13.100046  13.515939  11.329060  15.702817  13.265982  11.439604  15.092360
80  24.395329  18.973201  29.817457  34.283915  30.440534  38.127296  33.531752  29.600709  37.462795  12.521383  11.568311  13.474455  13.710025  11.461256  15.958794  13.361961  11.491569  15.232352
81  24.549870  19.096870  30.002870  34.418053  30.432444  38.403662  33.741009  29.726242  37.755776  12.838706  11.803768  13.873644  13.817004  11.615936  16.018073  13.528540  11.697060  15.360020
82  24.724095  19.294567  30.153623  34.604007  30.543738  38.664276  33.957199  29.887926  38.026472  12.960578  11.857657  14.063499  13.883652  11.659399  16.107904  13.691939  11.830443  15.553436
83  24.823865  19.427678  30.220052  34.813127  30.665168  38.961086  34.206226  30.139057  38.273395  13.131583  11.996488  14.266679  14.054781  11.801916  16.307647  13.782383  11.938257  15.626509
84  24.954455  19.574427  30.334483  34.961549  30.698050  39.225048  34.326422  30.291756  38.361088  13.283113  12.033864  14.532361  14.135259  11.882214  16.388303  13.777146  11.906525  15.647767
